query_id,query,source,label
1,what is autograd,notes/autograd.rst,b
2,how do I move a tensor to GPU,notes/cuda.rst,b
3,how to use DataLoader with multiple workers,data.md,b
4,what is the capital of France,data.md,m
5,how do I make chocolate chip cookies,notes/windows.rst,m
6,what is the best optimizer for training GANs,user_guide/torch_compiler/torch.compiler_faq.md,t
7,how do I stop my model from memorizing the training data,notes/faq.rst,t
8,How to use multiple GPUs in pytorch,distributed.md,t
9,what is a leaf tensor,notes/autograd.rst,b
10,difference between .size() and .shape,user_guide/torch_compiler/export.md,m
11,what does torch.nn.functional.linear do,named_tensor.md,t
12,how to save and load a model for inference,user_guide/torch_compiler/torch.compiler_aot_inductor.md,t
13,convert numpy array to pytorch tensor,sparse.rst,m
14,how to flatten a tensor before linear layer,named_tensor.md,b
15,implement custom autograd function,notes/extending.func.rst,b
16,how do I batch insert records into a database,data.md,m
17,pytorch vs tensorflow for deep learning,user_guide/index.md,m
18,my model weights are not changing during training,optim.md,t
19,why is my loss nan,notes/faq.rst,t
20,view vs reshape,tensor_view.rst,t
21,how to update learning rate in middle of training,optim.md,b
